Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8
Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,403","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,404","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,405","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,406","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,407","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,408","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,409","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,410","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,411","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,412","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,413","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,414","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,415","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,416","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,417","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,418","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,419","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,420","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,421","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,422","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,423","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,424","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,425","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,426","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,427","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,428","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,429","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,430","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,431","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,432","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,433","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,434","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,435","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,436","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,437","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,438","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,439","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,440","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,441","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,442","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,443","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,444","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,445","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,446","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,447","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,448","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,449","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,450","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,451","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,452","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,453","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,454","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,455","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,456","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,457","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,458","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,459","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,460","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,461","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,462","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,463","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,464","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,465","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,466","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,467","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,468","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,469","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,470","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,471","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,472","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,473","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,8E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,474","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,475","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,8E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,476","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,477","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,8E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,478","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,479","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,8E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,480","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,8E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,481","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,482","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,8E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,483","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,484","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,485","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,8E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,486","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,487","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,488","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,489","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,490","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,8E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,491","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,8E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,492","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,8E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,493","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,494","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,495","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,8E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,496","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,8E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,497","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,8E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,498","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,499","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,500","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,8E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
